regione,output_diretto,output_indiretto,output_indotto,output_totale,va_diretto,va_indiretto,va_indotto,va_totale,occ_diretta,occ_indiretta,occ_indotta,occ_totale,moltiplicatore_output
Emilia-Romagna,42.0,22.210055483123586,10.845067569679482,75.05512305280307,18.125,11.120241156115291,5.857301554512745,35.102542710628036,206.75,100.27652132360485,58.183030953282255,365.20955227688705,1.79
Provincia di Bolzano,9.0,2.668600753354493,2.5844398264318995,14.253040579786392,4.995,1.4319149694255904,1.3958274870713052,7.822742456496895,52.2,13.713447398723508,13.865339376822963,79.77878677554646,1.58
Sardegna,9.0,3.4466110481979797,2.5023485325625603,14.94895958076054,4.57,1.788088627288753,1.3514908833476773,7.709579510636431,49.94,16.68542511062111,13.424925311949051,80.05035042257018,1.66
Calabria,8.0,2.544049143963118,2.2758846055629807,12.819933749526097,4.345,1.3513231755177288,1.229180210488043,6.925503386005772,45.769999999999996,12.83753519681413,12.209962141847953,70.81749733866208,1.6
